1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,w,1955,Ad,1983,2004,Ad+,2005,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,No Po,Yes,1983,0,40,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,1998,2012,,,,,,,,,,,,,No,Rather
429,w,1983,Ad,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,No Po,No,2010,2012,32,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,No,cél,,,,,,,,,,,,,,,Yes,No
430,m,1955,Mb,1980,,Po,1999,2004,Po,2005,na,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Yes,1980,1999,na,1999,2004,42,2005,na,42.5,,,,,,,Yes,No,No,Yes,Yes,No,No,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,1985,2006,,,,,,,,,,,,,Yes,Rather
431,w,1972,Mb,1993,2012,Ad,1993,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,No Po,Yes,na,na,0,,,0,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,1991,1992,conc,1994,2000,conc,2000,2012,,,,,,,Yes,Rather not
432,w,1968,Ad,2012,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,No Po,Yes,2012,na,32,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,1991,1992,mar,1992,na,,,,,,,,,,Yes,No
433,m,1981,Ad,2009,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,No,Rather not
434,m,1964,Ad,2005,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,No,2005,2012,32,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,1986,1994,conc,1998,2003,conc,2007,2012,,,,,,,Yes,Rather not
435,m,1981,na,na,na,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2007,na,,,,,,,,,,,,,No,na
436,m,1993,Ad,2009,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,No Po,Yes,2009,2012,40,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
437,m,1986,Ad,2012,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,No Po,Yes,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
438,m,1985,Po,2012,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2004,2010,,,,,,,,,,,,,No,No
439,w,1980,Ad,2003,2007,Po,2007,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Po,Po,Po,Po,Po,Po,No,2003,2007,1,2007,2012,42,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2001,2004,mar,2005,2012,,,,,,,,,,No,Rather
440,na,1980,Po,2012,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,Yes,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,aut,2004,na,,,,,,,,,,,,,Yes,Yes
441,m,1972,Ad+,2008,2011,Ad+,2011,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,Ad+,Ad+,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,2002,2012,,,,,,,,,,,,,No,No
442,w,1958,Ad,1998,2004,Ad,2005,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,Yes,1998,0,16,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,1985,2012,,,,,,,,,,,,,Yes,Rather
443,w,1987,Po,2012,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Yes,2012,0,32,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
444,w,1985,Po,2008,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,Yes,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2006,2012,,,,,,,,,,,,,No,Rather
445,m,1979,Ac,1998,2003,Po,2003,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,No,2003,0,47,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,2005,2012,,,,,,,,,,,,,Yes,Rather not
446,m,1977,Ad+,2009,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,Ad+,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,2003,na,,,,,,,,,,,,,No,No
447,w,1977,Po,2009,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,1996,2012,,,,,,,,,,,,,na,Rather
448,w,1957,Ad,2001,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,No,na,na,28,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,No,cél,,,,,,,,,,,,,,,Yes,No
449,w,1979,Po,2011,2011,Po,2011,2012,Mb,2011,2011,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Yes,2011,2011,20,2011,0,40,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2007,2010,mar,2010,2012,,,,,,,,,,Yes,Rather
450,w,1988,Po,2009,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,Yes,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,2011,na,,,,,,,,,,,,,No,No
451,w,1965,Ad,1996,2001,Po,2001,2004,Po,2005,2012,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,na,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
452,na,na,Ad+,2005,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,No Po,Yes,2005,2007,28,2007,2012,20,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,1992,2012,,,,,,,,,,,,,No,na
453,w,1980,Mb,2001,2004,Ad,2003,2004,Ad,2005,2012,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,Yes,2001,2002,0,2003,0,42,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,No,cél,,,,,,,,,,,,,,,No,Rather not
454,w,1979,Po,2011,2012,Mb,2011,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,No,na,na,na,,,,,,,,,,,,,Yes,No,Yes,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2009,2012,,,,,,,,,,,,,No,Rather not
455,m,1987,Mb,2004,2012,Ac,2006,2010,Ac,2008,2010,Po,2010,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,Yes,2010,0,42,2006,2010,1.5,,,,,,,,,,No,No,No,No,No,Yes,No,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
456,w,1952,Ac,1975,1988,Ad,1991,2004,Ad,2005,2009,Po,2010,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,Ac,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Po,Po,Po,Po,Yes,1975,1988,2,1991,0,24,,,,,,,,,,Yes,No,No,No,No,No,Yes,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
457,m,1983,Ad,2011,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,No Po,No,2011,2012,32,,,,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2004,2012,,,,,,,,,,,,,No,No
458,w,1967,Ad,2008,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,No Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,1989,1992,mar,1992,na,,,,,,,,,,Yes,Rather not
459,m,1970,Po,2007,2008,Po,2008,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,No,2008,0,45,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,na,na,na,,,,,,,,,,,,,Yes,No
460,w,1974,Ad,2005,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,Yes,2005,2012,<1,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
461,m,1965,Po,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Yes,na,na,42,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,1988,na,,,,,,,,,,,,,Yes,Yes
462,w,1978,Ad,2009,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
463,m,1987,Mb,2004,2012,Ac,2006,2010,Ac,2008,2010,Po,2010,2012,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,Yes,2006,2010,1.5,2010,0,42,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,Yes,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2008,2012,conc,2006,2007,conc,2004,2005,,,,,,,No,na
464,w,1987,Ad,2009,2012,Mb,2009,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,No Po,Yes,2009,0,10,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,aut,2008,2012,,,,,,,,,,,,,No,No
465,m,1984,Po,2004,2011,Po,2012,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,No,2004,2012,45,,,,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2004,2012,,,,,,,,,,,,,No,Rather not
466,w,1992,Ad,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,No Po,No,na,na,na,,,,,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,No,cél,,,,,,,,,,,,,,,No,na
467,w,1983,Ad,2003,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,Yes,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,aut,2009,2012,aut,2003,2006,,,,,,,,,,No,na
468,w,1954,Ad,2003,2012,Mb,2011,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,Ad,No Po,Yes,na,na,na,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
469,w,1988,Po,2011,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,No,na,na,24,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,conc,2009,na,,,,,,,,,,,,,No,No
470,m,1957,Ad+,1994,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,No Po,Yes,1994,0,50,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,1984,2012,,,,,,,,,,,,,Yes,Rather not
471,w,1958,Ad,1991,,Po,na,na,Ad+,1995,2000,Ad+,2000,2009,Ad+,2009,2012,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Ad+,Po,Yes,na,na,na,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,na,na,na,mar,1989,2012,,,,,,,,,,Yes,Yes
472,m,1966,Po,2002,2012,Mb,1984,2012,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Mb,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Po,Yes,na,na,na,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,na,na,na,na,,,,,,,,,,,,,na,na
473,m,1951,Po,2010,2012,,,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Po,Po,Po,Po,Yes,2010,2011,3,,,,,,,,,,,,,Yes,No,No,No,Yes,No,No,No,No,No,na,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,mar,1984,na,,,,,,,,,,,,,na,na
